date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
4/16/19 17:59,MayorJenny,,13,2,19,"With this law in place, the City of Seattle could do more to expand access to transportation, manage congestion, ensure more reliable transit, and improve safety for all. I am grateful to everyone who came together in support of this legislation.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118212285279793153
4/16/19 01:54,MayorJenny,,84,53,335,"If this president wants to send immigrants and refugees to Seattle, we will do what we have always done: welcome them. As I said tonight on @hardball, we won't let this president use the power of America to destroy the promise of America.",,@hardball,,1.12E+18,https://twitter.com/MayorJenny/status/1117969425301266432
4/13/19 22:14,MayorJenny,,313,153,931,"Instead of threatening immigrant families and the cities that welcome them, this president should spend a little more time learning from cities like Seattle. @TIME",,@TIME,,1.12E+18,https://twitter.com/MayorJenny/status/1117189411114930176
4/12/19 23:49,MayorJenny,,69,284,1635,"We have strong American values of inclusiveness and opportunity in Seattle. We have started to provide tuition-free college for our high school graduates, regardless of immigration status. We’re working to help tens of thousands of legal permanent residents become citizens.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1116850884481126400
4/12/19 23:46,MayorJenny,,217,357,1990,Our immigrant and refugee neighbors have helped Seattle become the fastest-growing big city in the country. What scares us? A president that would seek to weaponize a law enforcement agency to punish perceived political enemies.,,,,1.12E+18,https://twitter.com/MayorJenny/status/1116850148036923393
4/12/19 23:44,MayorJenny,,774,7931,31121,"If this president wants to send immigrants and refugees to Seattle, we will do what we have always done to welcome individuals. We will not allow any administration to use the power of America to destroy the promise of America.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1116849709606260736
4/12/19 19:38,MayorJenny,,46,37,155,"Time and again, we have seen this administration weaken the moral standing of America and undermine true public safety. Seattle will continue to fight for the dignity of every person and will not allow any administration to destroy the promise of America. https://www.washingtonpost.com/immigration/white-house-proposed-releasing-immigrant-detainees-in-sanctuary-cities-targeting-political-foes/2019/04/11/72839bc8-5c68-11e9-9625-01d48d50ef75_story.html?utm_term=.dd54d1e53d00",,,,1.12E+18,https://twitter.com/MayorJenny/status/1116787694397349889
4/12/19 18:34,MayorJenny,,8,7,19,"Thank you to @joefitzgibbon for working to keep block-the-box legislation moving in Olympia, and to community partners including @rootedinrights, @SeattleTRU, @MLKLabor for helping to ensure transit, people &amp; goods move through our city quickly &amp; safely.",,@joefitzgibbon @RootedInRights @SeattleTRU @MLKLabor,,1.12E+18,https://twitter.com/MayorJenny/status/1116771601414942720
4/12/19 00:15,MayorJenny,US_IMLS,7,3,20,This is one of my favorite memories from @naamnw - the end of a long day crisscrossing the City to swear in @carmenbest as the new @SeattlePD Chief of Police. Congratulations to NAAM on the @US_IMLS nomination! We're rooting for you!,,@naamnw @carmenbest @SeattlePD @US_IMLS,,1.12E+18,https://twitter.com/MayorJenny/status/1116494915481923584
4/11/19 23:08,MayorJenny,,4,7,15,"Thank you, Sen. @PattyMurray, for introducing the #DigitalEquityAct to help cities across our country address digital inequity in their communities! With steps like our @SeattleIT Tech Access and Adoption Study, we are working to close the digital divide.",,@PattyMurray @seattleit,#DigitalEquityAct,1.12E+18,https://twitter.com/MayorJenny/status/1116478116614926337
4/11/19 15:31,MayorJenny,,0,0,4,"This creation of a “Data Decision Cloud” needs much more transparency, scrutiny & oversight. There is significant risk for misuse of private data and biased credit decisions. Olympia should pass @Reuvencarlyle’s #WAPrivacyAct bill ASAP. #SB5376 #waleg",,@Reuvencarlyle,#WAPrivacyAct #SB5376 #waleg,1.12E+18,https://twitter.com/MayorJenny/status/1116363265720733697
